Wilaya,Product,Production(qx),SizeofLandUsed(ha),Season,Price(da/qx),Consumption
OumElBouaghi,Legumes,832,832,Spring,3152,309486
OumElBouaghi,Forage,14884,14884,Winter,5684,277015
OumElBouaghi,Forage,14884,14884,Fall,3160,885304
OumElBouaghi,Forage,14884,14884,Summer,3374,241743
OumElBouaghi,Forage,14884,14884,Spring,2242,69528
BATNA,Cereals,146260,146260,Winter,5412,571095
BATNA,Cereals,146260,146260,Fall,4266,863216
BATNA,Cereals,0,0,Summer,1074,142722
BATNA,Cereals,0,0,Spring,5065,413596
BATNA,Legumes,106,106,Winter,4044,935533
BATNA,Legumes,106,106,Fall,2070,870014
BATNA,Legumes,106,106,Summer,5222,916573
BATNA,Legumes,106,106,Spring,3246,262786
BATNA,Forage,36532,36532,Winter,5428,574478
BATNA,Forage,36532,36532,Fall,3633,15110
BATNA,Forage,36532,36532,Summer,5169,842470
BATNA,Forage,36532,36532,Spring,1436,595517
BEJAIA,Cereals,6854,6854,Winter,1314,58420
BEJAIA,Cereals,6854,6854,Fall,3854,540756
BEJAIA,Cereals,2,2,Summer,4523,769282
BEJAIA,Cereals,2,2,Spring,4203,965371
BEJAIA,Legumes,502,502,Winter,5436,237261
BEJAIA,Legumes,502,502,Fall,4585,397799
BEJAIA,Legumes,502,502,Summer,4541,296851
BEJAIA,Legumes,502,502,Spring,5244,87344
BEJAIA,Forage,3544,3544,Winter,2111,741527
BEJAIA,Forage,3544,3544,Fall,1015,961363
BEJAIA,Forage,3544,3544,Summer,2935,604423
BEJAIA,Forage,3544,3544,Spring,2219,351766
BISKRA,Cereals,29455,29455,Winter,5676,907407
BISKRA,Cereals,29455,29455,Fall,4941,976069
BISKRA,Cereals,0,0,Summer,2795,900226
BISKRA,Cereals,0,0,Spring,4116,214297
BISKRA,Forage,7525,7525,Winter,3683,959477
BISKRA,Forage,7525,7525,Fall,3932,301945
BISKRA,Forage,7525,7525,Summer,4021,863795
BISKRA,Forage,7525,7525,Spring,5418,175276
BECHAR,Cereals,2169,2169,Winter,2309,840464
BECHAR,Cereals,2169,2169,Fall,2467,408158
BECHAR,Cereals,0,0,Summer,1126,219902
BECHAR,Cereals,0,0,Spring,3832,643755
BECHAR,Legumes,1077,1077,Winter,2785,95705
BECHAR,Legumes,1077,1077,Fall,2839,417001
BECHAR,Legumes,1077,1077,Summer,1003,194334
BECHAR,Legumes,1077,1077,Spring,2166,838760
BECHAR,Forage,1077,1077,Winter,2101,451705
BECHAR,Forage,1077,1077,Fall,3317,910174
BECHAR,Forage,1077,1077,Summer,1912,44501
BECHAR,Forage,1077,1077,Spring,3019,128030
BLIDA,Cereals,8102,8102,Winter,2846,422072
BLIDA,Cereals,8102,8102,Fall,1587,549962
BLIDA,Cereals,0,0,Summer,3363,586226
BLIDA,Cereals,0,0,Spring,2236,300414
BLIDA,Legumes,1080,1080,Winter,2131,543817
BLIDA,Legumes,1080,1080,Fall,5717,372194
BLIDA,Legumes,1080,1080,Summer,2674,605769
BLIDA,Legumes,1080,1080,Spring,1053,388393
BLIDA,Forage,1080,1080,Winter,2141,273412
BLIDA,Forage,1080,1080,Fall,3392,807908
BLIDA,Forage,1080,1080,Summer,2997,939315
BLIDA,Forage,1080,1080,Spring,4603,609060
BOUIRA,Cereals,69696,69696,Winter,1151,433134
BOUIRA,Cereals,69696,69696,Fall,3977,524632
BOUIRA,Cereals,0,0,Summer,3526,189933
BOUIRA,Cereals,0,0,Spring,1457,865197
BOUIRA,Legumes,1288,1288,Winter,3412,424912
BOUIRA,Legumes,1288,1288,Fall,2182,440766
BOUIRA,Legumes,1288,1288,Summer,4814,315195
BOUIRA,Legumes,1288,1288,Spring,4985,338050
BOUIRA,Forage,7817,7817,Winter,2962,142209
BOUIRA,Forage,7817,7817,Fall,3525,965208
BOUIRA,Forage,7817,7817,Summer,3165,448830
BOUIRA,Forage,7817,7817,Spring,1161,423439
TAMANRASSET,Cereals,745,745,Winter,4520,441553
TAMANRASSET,Cereals,745,745,Fall,4168,912676
TAMANRASSET,Cereals,0,0,Summer,2342,999912
TAMANRASSET,Cereals,0,0,Spring,2634,246265
TAMANRASSET,Legumes,644,644,Winter,2329,407032
TAMANRASSET,Legumes,644,644,Fall,3383,154923
TAMANRASSET,Legumes,644,644,Summer,5289,625157
TAMANRASSET,Legumes,644,644,Spring,3147,788998
TAMANRASSET,Forage,644,644,Winter,3450,883435
TAMANRASSET,Forage,644,644,Fall,1254,331822
TAMANRASSET,Forage,644,644,Summer,2502,672177
TAMANRASSET,Forage,644,644,Spring,3071,601878
TEBESSA,Cereals,130000,130000,Winter,3333,875849
TEBESSA,Cereals,130000,130000,Fall,5713,55513
TEBESSA,Cereals,0,0,Summer,3277,752299
TEBESSA,Cereals,0,0,Spring,2592,973826
TEBESSA,Legumes,100,100,Winter,5532,338936
TEBESSA,Legumes,100,100,Fall,4447,146625
TEBESSA,Legumes,100,100,Summer,3003,593247
TEBESSA,Legumes,100,100,Spring,4830,35039
TEBESSA,Forage,62841,62841,Winter,4235,296175
TEBESSA,Forage,62841,62841,Fall,1095,236504
TEBESSA,Forage,62841,62841,Summer,3810,371011
TEBESSA,Forage,62841,62841,Spring,4503,140883
TLEMCEN,Cereals,174900,174900,Winter,2957,620896
TLEMCEN,Cereals,174900,174900,Fall,4364,85294
TLEMCEN,Cereals,0,0,Summer,2333,231770
TLEMCEN,Cereals,0,0,Spring,2279,190393
TLEMCEN,Legumes,18160,18160,Winter,3023,774108
TLEMCEN,Legumes,18160,18160,Fall,1155,514700
TLEMCEN,Legumes,18160,18160,Summer,1872,386842
TLEMCEN,Legumes,18160,18160,Spring,4586,447787
TLEMCEN,Forage,22220,22220,Winter,1483,552340
TLEMCEN,Forage,22220,22220,Fall,3892,742471
TLEMCEN,Forage,22220,22220,Summer,1617,953498
TLEMCEN,Forage,22220,22220,Spring,5852,970816
TIARET,Cereals,364270,364270,Winter,4465,454761
TIARET,Cereals,364270,364270,Fall,3669,94248
TIARET,Cereals,0,0,Summer,5935,163229
TIARET,Cereals,0,0,Spring,1008,25256
TIARET,Legumes,9072,9072,Winter,2226,590643
TIARET,Legumes,9072,9072,Fall,1907,28341
TIARET,Legumes,9072,9072,Summer,4886,551878
TIARET,Legumes,9072,9072,Spring,4627,375874
TIARET,Forage,32348,32348,Winter,1489,263314
TIARET,Forage,32348,32348,Fall,4572,892644
TIARET,Forage,32348,32348,Summer,2338,112133
TIARET,Forage,32348,32348,Spring,5396,406981
TIZIOUZOU,Cereals,7029,7029,Winter,1697,564980
TIZIOUZOU,Cereals,7029,7029,Fall,3533,287641
TIZIOUZOU,Cereals,0,0,Summer,2620,353936
TIZIOUZOU,Cereals,0,0,Spring,1186,251979
TIZIOUZOU,Legumes,763,763,Winter,1546,779006
TIZIOUZOU,Legumes,763,763,Fall,5247,873148
TIZIOUZOU,Legumes,763,763,Summer,2095,772598
TIZIOUZOU,Legumes,763,763,Spring,1938,945761
TIZIOUZOU,Forage,12599,12599,Winter,1772,916529
TIZIOUZOU,Forage,12599,12599,Fall,4352,573436
TIZIOUZOU,Forage,12599,12599,Summer,1441,251344
TIZIOUZOU,Forage,12599,12599,Spring,1423,954484
ALGIERS,Cereals,1693,1693,Winter,2702,459027
ALGIERS,Cereals,1693,1693,Fall,2230,544280
ALGIERS,Cereals,0,0,Summer,3536,660931
ALGIERS,Cereals,0,0,Spring,5981,594996
ALGIERS,Legumes,26,26,Winter,1612,190969
ALGIERS,Legumes,26,26,Fall,5965,582223
ALGIERS,Legumes,26,26,Summer,4585,111212
ALGIERS,Legumes,26,26,Spring,5976,739855
ALGIERS,Forage,1822,1822,Winter,5805,310444
ALGIERS,Forage,1822,1822,Fall,3899,579432
ALGIERS,Forage,1822,1822,Summer,4143,646653
ALGIERS,Forage,1822,1822,Spring,5207,950087
DJELFA,Cereals,78905,78905,Winter,5217,978903
DJELFA,Cereals,78905,78905,Fall,1493,525914
DJELFA,Cereals,0,0,Summer,4771,982638
DJELFA,Cereals,0,0,Spring,1785,820844
DJELFA,Forage,26655,26655,Winter,4198,94831
DJELFA,Forage,26655,26655,Fall,2276,348920
DJELFA,Forage,26655,26655,Summer,2954,900863
DJELFA,Forage,26655,26655,Spring,3658,431646
DJELFA,Legumes,26655,26655,Winter,4735,98755
DJELFA,Legumes,26655,26655,Fall,4472,716520
DJELFA,Legumes,26655,26655,Summer,5949,583608
DJELFA,Legumes,26655,26655,Spring,3263,673992
JIJEL,Cereals,1486,1486,Winter,5036,585732
JIJEL,Cereals,1486,1486,Fall,3065,481177
JIJEL,Cereals,108,108,Summer,3376,969949
JIJEL,Cereals,108,108,Spring,4305,403723
JIJEL,Legumes,458,458,Winter,3465,543991
JIJEL,Legumes,458,458,Fall,4644,85542
JIJEL,Legumes,458,458,Summer,4374,702607
JIJEL,Legumes,458,458,Spring,4632,566646
JIJEL,Forage,677,677,Winter,5920,903457
JIJEL,Forage,677,677,Fall,5949,958041
JIJEL,Forage,677,677,Summer,4150,233062
JIJEL,Forage,677,677,Spring,5001,223871
SETIF,Cereals,198170,198170,Winter,4766,909739
SETIF,Cereals,198170,198170,Fall,3719,409748
SETIF,Cereals,0,0,Summer,3319,27270
SETIF,Cereals,0,0,Spring,5987,981450
SETIF,Legumes,1200,1200,Winter,4920,792188
SETIF,Legumes,1200,1200,Fall,3891,113517
SETIF,Legumes,1200,1200,Summer,3265,613656
SETIF,Legumes,1200,1200,Spring,1747,971586
SETIF,Forage,22602,22602,Winter,1910,545885
SETIF,Forage,22602,22602,Fall,1616,870431
SETIF,Forage,22602,22602,Summer,3029,599167
SETIF,Forage,22602,22602,Spring,4354,740153
SAIDA,Cereals,131975,131975,Winter,4591,249384
SAIDA,Cereals,131975,131975,Fall,2108,812380
SAIDA,Cereals,0,0,Summer,2619,711244
SAIDA,Cereals,0,0,Spring,1152,435886
SAIDA,Forage,580,580,Winter,3011,110753
SAIDA,Forage,580,580,Fall,3686,117691
SAIDA,Forage,580,580,Summer,3547,545174
SAIDA,Forage,580,580,Spring,4901,764206
SKIKDA,Cereals,35553,35553,Winter,2955,576726
SKIKDA,Cereals,35553,35553,Fall,1236,73558
SKIKDA,Cereals,113,113,Summer,5113,786553
SKIKDA,Cereals,113,113,Spring,2359,386925
SKIKDA,Legumes,6997,6997,Winter,4248,815206
SKIKDA,Legumes,6997,6997,Fall,2396,176717
SKIKDA,Legumes,6997,6997,Summer,3272,109570
SKIKDA,Legumes,6997,6997,Spring,4081,58436
SKIKDA,Forage,9088,9088,Winter,1868,169610
SKIKDA,Forage,9088,9088,Fall,4252,670873
SKIKDA,Forage,9088,9088,Summer,1944,843152
SKIKDA,Forage,9088,9088,Spring,1074,346030
SIDIBELABBES,Cereals,178170,178170,Winter,5189,488053
SIDIBELABBES,Cereals,178170,178170,Fall,3806,490331
SIDIBELABBES,Cereals,0,0,Summer,3220,925938
SIDIBELABBES,Cereals,0,0,Spring,1802,569016
SIDIBELABBES,Legumes,2734,2734,Winter,5938,296618
SIDIBELABBES,Legumes,2734,2734,Fall,4531,361090
SIDIBELABBES,Legumes,2734,2734,Summer,3364,285979
SIDIBELABBES,Legumes,2734,2734,Spring,2014,676618
SIDIBELABBES,Forage,18890,18890,Winter,3133,170755
SIDIBELABBES,Forage,18890,18890,Fall,4437,497970
SIDIBELABBES,Forage,18890,18890,Summer,1512,645025
SIDIBELABBES,Forage,18890,18890,Spring,5292,401302
ANNABA,Cereals,16589,16589,Winter,1803,424942
ANNABA,Cereals,16589,16589,Fall,6000,108329
ANNABA,Cereals,0,0,Summer,2761,654553
ANNABA,Cereals,0,0,Spring,1562,400835
ANNABA,Legumes,1986,1986,Winter,1952,282730
ANNABA,Legumes,1986,1986,Fall,2431,328851
ANNABA,Legumes,1986,1986,Summer,5276,738748
ANNABA,Legumes,1986,1986,Spring,1884,505977
ANNABA,Forage,1167,1167,Winter,2459,729817
ANNABA,Forage,1167,1167,Fall,1319,469676
ANNABA,Forage,1167,1167,Summer,4038,454229
ANNABA,Forage,1167,1167,Spring,3513,534721
GUELMA,Cereals,90490,90490,Winter,2434,886252
GUELMA,Cereals,90490,90490,Fall,1665,52790
GUELMA,Cereals,0,0,Summer,2520,318822
GUELMA,Cereals,0,0,Spring,4235,100494
GUELMA,Forage,6791,6791,Winter,1620,710781
GUELMA,Forage,6791,6791,Fall,1409,321751
GUELMA,Forage,6791,6791,Summer,3702,163957
GUELMA,Forage,6791,6791,Spring,4238,223667
CONSTANTINE,Cereals,90655,90655,Winter,1282,597577
CONSTANTINE,Cereals,90655,90655,Fall,2819,173907
CONSTANTINE,Cereals,0,0,Summer,1896,12853
CONSTANTINE,Cereals,0,0,Spring,2756,732768
CONSTANTINE,Forage,7201,7201,Winter,3048,151665
CONSTANTINE,Forage,7201,7201,Fall,4636,833207
CONSTANTINE,Forage,7201,7201,Summer,5334,425435
CONSTANTINE,Forage,7201,7201,Spring,5786,484185
MEDREA,Cereals,124234,124234,Winter,3802,429112
MEDREA,Cereals,124234,124234,Fall,5674,392801
MEDREA,Cereals,0,0,Summer,5404,360929
MEDREA,Cereals,0,0,Spring,1576,844024
MEDREA,Forage,2576,2576,Winter,5960,743544
MEDREA,Forage,2576,2576,Fall,4543,728310
MEDREA,Forage,2576,2576,Summer,3344,96632
MEDREA,Forage,2576,2576,Spring,1179,41095
MOSTAGANEM,Cereals,40851,40851,Winter,2917,632068
MOSTAGANEM,Cereals,40851,40851,Fall,4162,502531
MOSTAGANEM,Cereals,0,0,Summer,5694,233825
MOSTAGANEM,Cereals,0,0,Spring,4683,148951
MOSTAGANEM,Forage,3586,3586,Winter,1931,352630
MOSTAGANEM,Forage,3586,3586,Fall,5027,821993
MOSTAGANEM,Forage,3586,3586,Summer,4563,398648
MOSTAGANEM,Forage,3586,3586,Spring,3173,745870
MOSTAGANEM,Legumes,21369,21369,Winter,3698,562080
MOSTAGANEM,Legumes,21369,21369,Fall,1125,726073
MOSTAGANEM,Legumes,21369,21369,Summer,2933,973372
MOSTAGANEM,Legumes,21369,21369,Spring,1813,560769
MSILA,Cereals,52785,52785,Winter,3328,593805
MSILA,Cereals,52785,52785,Fall,3098,595168
MSILA,Cereals,0,0,Summer,5196,414549
MSILA,Cereals,0,0,Spring,2418,355287
MSILA,Forage,40600,40600,Winter,5048,267240
MSILA,Forage,40600,40600,Fall,3327,847436
MSILA,Forage,40600,40600,Summer,1728,348250
MSILA,Forage,40600,40600,Spring,2944,162604
MASCARA,Cereals,102584,102584,Winter,3813,859886
MASCARA,Cereals,102584,102584,Fall,4370,745951
MASCARA,Cereals,0,0,Summer,1168,5994
MASCARA,Cereals,0,0,Spring,1711,322288
MASCARA,Forage,5678,5678,Winter,2943,707741
MASCARA,Forage,5678,5678,Fall,1596,583023
MASCARA,Forage,5678,5678,Summer,3107,980017
MASCARA,Forage,5678,5678,Spring,3162,925934
OUARGLA,Cereals,2883,2883,Winter,2074,108599
OUARGLA,Cereals,2883,2883,Fall,3066,466221
OUARGLA,Cereals,0,0,Summer,2624,615259
OUARGLA,Cereals,0,0,Spring,2662,423903
OUARGLA,Forage,2527,2527,Winter,1849,512971
OUARGLA,Forage,2527,2527,Fall,4871,398785
OUARGLA,Forage,2527,2527,Summer,5516,866992
OUARGLA,Forage,2527,2527,Spring,5955,528721
ORAN,Cereals,46151,46151,Winter,3687,766471
ORAN,Cereals,46151,46151,Fall,5382,179920
ORAN,Cereals,0,0,Summer,1098,755393
ORAN,Cereals,0,0,Spring,2620,637041
ORAN,Forage,225,225,Winter,3471,648549
ORAN,Forage,225,225,Fall,2599,465285
ORAN,Forage,225,225,Summer,2394,323561
ORAN,Forage,225,225,Spring,1361,918225
ORAN,Legumes,14038,14038,Winter,2005,173702
ORAN,Legumes,14038,14038,Fall,1092,199135
ORAN,Legumes,14038,14038,Summer,5740,292254
ORAN,Legumes,14038,14038,Spring,5009,810844
ELBAYADH,Cereals,11426,11426,Winter,4198,163715
ELBAYADH,Cereals,11426,11426,Fall,2472,668598
ELBAYADH,Cereals,12,12,Summer,2363,724373
ELBAYADH,Cereals,12,12,Spring,4541,310666
ELBAYADH,Forage,7091,7091,Winter,3604,876940
ELBAYADH,Forage,7091,7091,Fall,1045,115437
ELBAYADH,Forage,7091,7091,Summer,1196,171508
ELBAYADH,Forage,7091,7091,Spring,2618,408023
ILLIZI,Cereals,51,51,Winter,5245,684118
ILLIZI,Cereals,51,51,Fall,5508,958903
ILLIZI,Cereals,0,0,Summer,5338,870412
ILLIZI,Cereals,0,0,Spring,3490,879391
ILLIZI,Forage,226,226,Winter,1591,464951
ILLIZI,Forage,226,226,Fall,5225,675188
ILLIZI,Forage,226,226,Summer,5635,672759
ILLIZI,Forage,226,226,Spring,2104,464902
BordjBouArreridj,Cereals,80000,80000,Winter,3898,379114
BordjBouArreridj,Cereals,80000,80000,Fall,3515,746388
BordjBouArreridj,Cereals,0,0,Summer,2484,501178
BordjBouArreridj,Cereals,0,0,Spring,2693,717440
BordjBouArreridj,Forage,243,243,Winter,2991,866721
BordjBouArreridj,Forage,243,243,Fall,5898,232259
BordjBouArreridj,Forage,243,243,Summer,1870,999134
BordjBouArreridj,Forage,243,243,Spring,5366,761499
BOUMERDES,Cereals,4072,4072,Winter,5825,72221
BOUMERDES,Cereals,4072,4072,Fall,2591,451342
BOUMERDES,Cereals,0,0,Summer,4722,699587
BOUMERDES,Cereals,0,0,Spring,3940,853457
BOUMERDES,Forage,531,531,Winter,1381,29674
BOUMERDES,Forage,531,531,Fall,3915,557861
BOUMERDES,Forage,531,531,Summer,4738,123684
BOUMERDES,Forage,531,531,Spring,3178,846150
ELTARF,Cereals,23860,23860,Winter,2115,295671
ELTARF,Cereals,23860,23860,Fall,4308,251668
ELTARF,Cereals,0,0,Summer,3004,697898
ELTARF,Cereals,0,0,Spring,2838,217655
ELTARF,Forage,2572,2572,Winter,1777,748809
ELTARF,Forage,2572,2572,Fall,4949,20243
ELTARF,Forage,2572,2572,Summer,2831,289485
ELTARF,Forage,2572,2572,Spring,4754,703058
TINDOUF,Cereals,0,0,Winter,5279,306728
TINDOUF,Cereals,0,0,Fall,1241,762581
TINDOUF,Cereals,0,0,Summer,1278,96043
TINDOUF,Cereals,0,0,Spring,4035,478324
TINDOUF,Forage,34,34,Winter,5864,696805
TINDOUF,Forage,34,34,Fall,3043,821266
TINDOUF,Forage,34,34,Summer,3648,724084
TINDOUF,Forage,34,34,Spring,3807,822831
TISSEMSILT,Cereals,81000,81000,Winter,2880,485983
TISSEMSILT,Cereals,81000,81000,Fall,2406,513162
TISSEMSILT,Cereals,0,0,Summer,3223,467781
TISSEMSILT,Cereals,0,0,Spring,4940,472818
TISSEMSILT,Forage,3029,3029,Winter,5027,408492
TISSEMSILT,Forage,3029,3029,Fall,4602,725043
TISSEMSILT,Forage,3029,3029,Summer,5753,470189
TISSEMSILT,Forage,3029,3029,Spring,2699,353936
TISSEMSILT,Legumes,5620,5620,Winter,4416,728333
TISSEMSILT,Legumes,5620,5620,Fall,1671,578091
TISSEMSILT,Legumes,5620,5620,Summer,1847,297574
TISSEMSILT,Legumes,5620,5620,Spring,5956,953817
ELOUED,Cereals,10840,10840,Winter,5792,19165
ELOUED,Cereals,10840,10840,Fall,5427,957047
ELOUED,Cereals,0,0,Summer,1236,541480
ELOUED,Cereals,0,0,Spring,1549,797725
ELOUED,Forage,3710,3710,Winter,2682,273594
ELOUED,Forage,3710,3710,Fall,4921,935240
ELOUED,Forage,3710,3710,Summer,2547,502617
ELOUED,Forage,3710,3710,Spring,2358,55693
KHENCHELA,Cereals,94468,94468,Winter,4654,909544
KHENCHELA,Cereals,94468,94468,Fall,4633,665350
KHENCHELA,Cereals,0,0,Summer,5128,14238
KHENCHELA,Cereals,0,0,Spring,4988,243738
KHENCHELA,Forage,28303,28303,Winter,4981,565957
KHENCHELA,Forage,28303,28303,Fall,3848,574727
KHENCHELA,Forage,28303,28303,Summer,4707,773661
KHENCHELA,Forage,28303,28303,Spring,4640,647509
SOUKAHRAS,Cereals,153807,153807,Winter,1527,166528
SOUKAHRAS,Cereals,153807,153807,Fall,2345,656076
SOUKAHRAS,Cereals,0,0,Summer,5050,124228
SOUKAHRAS,Cereals,0,0,Spring,1780,322442
SOUKAHRAS,Forage,4624,4624,Winter,2918,894779
SOUKAHRAS,Forage,4624,4624,Fall,2708,646981
SOUKAHRAS,Forage,4624,4624,Summer,1478,882813
SOUKAHRAS,Forage,4624,4624,Spring,5418,261460
SOUKAHRAS,Legumes,12729,12729,Winter,2933,832844
SOUKAHRAS,Legumes,12729,12729,Fall,4634,465769
SOUKAHRAS,Legumes,12729,12729,Summer,3581,5417
SOUKAHRAS,Legumes,12729,12729,Spring,3837,825527
TIPAZA,Cereals,13498,13498,Winter,4670,275744
TIPAZA,Cereals,13498,13498,Fall,1253,621020
TIPAZA,Cereals,0,0,Summer,2244,560240
TIPAZA,Cereals,0,0,Spring,1663,577935
TIPAZA,Forage,817,817,Winter,3059,642868
TIPAZA,Forage,817,817,Fall,5965,925263
TIPAZA,Forage,817,817,Summer,1902,100221
TIPAZA,Forage,817,817,Spring,4995,75283
TIPAZA,Legumes,7605,7605,Winter,3457,949578
TIPAZA,Legumes,7605,7605,Fall,4252,67005
TIPAZA,Legumes,7605,7605,Summer,4590,930906
TIPAZA,Legumes,7605,7605,Spring,3274,94126
MILA,Cereals,114856,114856,Winter,1921,509358
MILA,Cereals,114856,114856,Fall,4599,523462
MILA,Cereals,0,0,Summer,3987,986878
MILA,Cereals,0,0,Spring,1528,763464
MILA,Forage,5575,5575,Winter,1998,782422
MILA,Forage,5575,5575,Fall,5194,986460
MILA,Forage,5575,5575,Summer,3769,276824
MILA,Forage,5575,5575,Spring,3782,245432
MILA,Legumes,10323,10323,Winter,4755,345999
MILA,Legumes,10323,10323,Fall,5679,6492
MILA,Legumes,10323,10323,Summer,2870,485723
MILA,Legumes,10323,10323,Spring,2340,528668
AINDEFLA,Cereals,77625,77625,Winter,3672,856973
AINDEFLA,Cereals,77625,77625,Fall,1960,623219
AINDEFLA,Cereals,30,30,Summer,1007,74627
AINDEFLA,Cereals,30,30,Spring,2727,819873
AINDEFLA,Forage,4307,4307,Winter,1137,459251
AINDEFLA,Forage,4307,4307,Fall,1284,807568
AINDEFLA,Forage,4307,4307,Summer,4544,620149
AINDEFLA,Forage,4307,4307,Spring,3672,709880
AINDEFLA,Legumes,23198,23198,Winter,1778,755133
AINDEFLA,Legumes,23198,23198,Fall,1547,428291
AINDEFLA,Legumes,23198,23198,Summer,3313,760387
AINDEFLA,Legumes,23198,23198,Spring,2204,943963
NAAMA,Cereals,4795,4795,Winter,5259,560945
NAAMA,Cereals,4795,4795,Fall,2918,700741
NAAMA,Cereals,0,0,Summer,1660,14750
NAAMA,Cereals,0,0,Spring,3531,517510
NAAMA,Forage,3514,3514,Winter,2887,607082
NAAMA,Forage,3514,3514,Fall,5892,796238
NAAMA,Forage,3514,3514,Summer,2842,1811
NAAMA,Forage,3514,3514,Spring,2836,976096
AINTEMOUCHENT,Cereals,109942,109942,Winter,3303,152637
AINTEMOUCHENT,Cereals,109942,109942,Fall,3675,608946
AINTEMOUCHENT,Cereals,0,0,Summer,3488,836887
AINTEMOUCHENT,Cereals,0,0,Spring,2650,109294
AINTEMOUCHENT,Forage,10638,10638,Winter,1939,602918
AINTEMOUCHENT,Forage,10638,10638,Fall,1246,455824
AINTEMOUCHENT,Forage,10638,10638,Summer,3557,958617
AINTEMOUCHENT,Forage,10638,10638,Spring,4245,86736
AINTEMOUCHENT,Legumes,11808,11808,Winter,5903,907697
AINTEMOUCHENT,Legumes,11808,11808,Fall,1445,180429
AINTEMOUCHENT,Legumes,11808,11808,Summer,5106,485811
AINTEMOUCHENT,Legumes,11808,11808,Spring,4585,402855
GHARDAIA,Cereals,6914,6914,Winter,3684,659559
GHARDAIA,Cereals,6914,6914,Fall,1379,246470
GHARDAIA,Cereals,0,0,Summer,5972,749640
GHARDAIA,Cereals,0,0,Spring,2678,991130
GHARDAIA,Forage,0,0,Winter,2663,692507
GHARDAIA,Forage,0,0,Fall,1859,370152
GHARDAIA,Forage,0,0,Summer,2191,414972
GHARDAIA,Forage,0,0,Spring,5413,28045
GHARDAIA,Legumes,5800,5800,Winter,4150,349898
GHARDAIA,Legumes,5800,5800,Fall,1979,419244
GHARDAIA,Legumes,5800,5800,Summer,3716,141987
GHARDAIA,Legumes,5800,5800,Spring,4555,565070
RELIZANE,Cereals,147499,147499,Winter,3167,587758
RELIZANE,Cereals,147499,147499,Fall,5074,311915
RELIZANE,Cereals,34,34,Summer,3073,699997
RELIZANE,Cereals,34,34,Spring,2265,834678
RELIZANE,Forage,7417,7417,Winter,4905,367490
RELIZANE,Forage,7417,7417,Fall,2697,498947
RELIZANE,Forage,7417,7417,Summer,2520,634199
RELIZANE,Forage,7417,7417,Spring,3311,879075
RELIZANE,Legumes,18109,18109,Winter,3951,727307
RELIZANE,Legumes,18109,18109,Fall,2364,345234
RELIZANE,Legumes,18109,18109,Summer,2828,743099
RELIZANE,Legumes,18109,18109,Spring,1963,413537
ADRAR,IndustrialCrops,1878,1878,Winter,5507,256624
ADRAR,IndustrialCrops,1878,1878,Fall,5701,915853
ADRAR,IndustrialCrops,1878,1878,Summer,5524,157767
ADRAR,IndustrialCrops,1878,1878,Spring,3602,995956
